# kanazawa-triples.tsv - Japanese medical vocabulary with English + Latin combining form
# source: kt.kanazawa-med.ac.jp/english/2-1.pdf
# columns: reading<TAB>japanese<TAB>english<TAB>latin<TAB>section
ぼうこう	膀胱	urinary bladder	cyst/o, vesic/o	泌尿器および男性生殖器系の用語           The Genito-Urinary System
こうがん	睾丸	testicle	orchi/o, orchid/o	泌尿器および男性生殖器系の用語           The Genito-Urinary System
いんけい	陰茎	penis	phall/o, pen/o	泌尿器および男性生殖器系の用語           The Genito-Urinary System
ぜんりつせん	前立腺	prostate	prostat/o	泌尿器および男性生殖器系の用語           The Genito-Urinary System
にょう	尿	urine	ur/o	尿など体に関する物質の用語         Urine and Other Biochemical Substances
とう	糖	sugar	glyc/o, gluc/o	尿など体に関する物質の用語         Urine and Other Biochemical Substances
たんぱく	蛋白	protein	albumin/o	尿など体に関する物質の用語         Urine and Other Biochemical Substances
しぼう	脂肪	fat	lip/o	尿など体に関する物質の用語         Urine and Other Biochemical Substances
さいぼう	細胞	cell	cyt/o	尿など体に関する物質の用語         Urine and Other Biochemical Substances
たんじゅう	胆汁	gall, bile	chol/e	尿など体に関する物質の用語         Urine and Other Biochemical Substances
にゅうじゅう	乳汁	milk	lact/o	尿など体に関する物質の用語         Urine and Other Biochemical Substances
せいえき	精液	sperm	sperm/o, spermat/o	尿など体に関する物質の用語         Urine and Other Biochemical Substances
ねんえき	粘液	mucus	muc/o	尿など体に関する物質の用語         Urine and Other Biochemical Substances
せんい	線維	fiber	fibr/o	尿など体に関する物質の用語         Urine and Other Biochemical Substances
もうはつ	毛髪	hair	trich/o	尿など体に関する物質の用語         Urine and Other Biochemical Substances
うみ	膿	pus	py/o	尿など体に関する物質の用語         Urine and Other Biochemical Substances
だえき	唾液	saliva	sial/o	尿など体に関する物質の用語         Urine and Other Biochemical Substances
あせ	汗	sweat	hidr/o	尿など体に関する物質の用語         Urine and Other Biochemical Substances
けっせき	結石	stone	lith/o	尿など体に関する物質の用語         Urine and Other Biochemical Substances
どく	毒	toxin	tox/o	尿など体に関する物質の用語         Urine and Other Biochemical Substances
せいめい	生命	life	bi/o	尿など体に関する物質の用語         Urine and Other Biochemical Substances
こうじょうせん	甲状腺		thyr/o, thyroid/o	尿など体に関する物質の用語         Urine and Other Biochemical Substances
ふくじん	副腎		adren/o	尿など体に関する物質の用語         Urine and Other Biochemical Substances
さいきん	細菌	bacterium	bacteri/o	尿など体に関する物質の用語         Urine and Other Biochemical Substances
まきん	真菌	fungus	myc/o	尿など体に関する物質の用語         Urine and Other Biochemical Substances
かんきん	桿菌	bacillus	bacill/o	尿など体に関する物質の用語         Urine and Other Biochemical Substances
きゅうきん	球菌	coccus	cocc/o	尿など体に関する物質の用語         Urine and Other Biochemical Substances
たまご	卵	ovum	o/o, ov/o, ov/i	女性生殖器系の用語     The Female Reproductive System
らんそう	卵巣	ovary	oophor/o	女性生殖器系の用語     The Female Reproductive System
たまごかん	卵管	salpinx, fallopian tube	salping/o	女性生殖器系の用語     The Female Reproductive System
しきゅう	子宮	uterus	hyster/o, metr/o, uter/o	女性生殖器系の用語     The Female Reproductive System
ちつ	膣	vagina	colp/o, vagin/o	女性生殖器系の用語     The Female Reproductive System
ちぶさ	乳房	breast	mast/o, mamm/o	女性生殖器系の用語     The Female Reproductive System
こつばん	骨盤	pelvis	pelv/i	女性生殖器系の用語     The Female Reproductive System
じょせい	女性	woman, female	gynec/o	女性生殖器系の用語     The Female Reproductive System
げっけい	月経	menstruation	men/o	女性生殖器系の用語     The Female Reproductive System
さんぷ	産婦		para	女性生殖器系の用語     The Female Reproductive System
にんぷ	妊婦		gravida	女性生殖器系の用語     The Female Reproductive System
みゃくかん	脈管	vessel	angi/o, vas/o	心臓・循環器・リンパ系の用語           The Cardiovascular and Lymphatic Systems
けっかん	血管	vessel	angi/o, vas/o	心臓・循環器・リンパ系の用語           The Cardiovascular and Lymphatic Systems
どうみゃく	動脈	artery	arteri/o	心臓・循環器・リンパ系の用語           The Cardiovascular and Lymphatic Systems
じょうみゃく	静脈	vein	phleb/o, ven/o	心臓・循環器・リンパ系の用語           The Cardiovascular and Lymphatic Systems
もうさいけっかん	毛細血管	capillary	capillar/o	心臓・循環器・リンパ系の用語           The Cardiovascular and Lymphatic Systems
ひぞう	脾臓	spleen	splen/o	心臓・循環器・リンパ系の用語           The Cardiovascular and Lymphatic Systems
こつづい	骨髄	bone marrow	myel/o	心臓・循環器・リンパ系の用語           The Cardiovascular and Lymphatic Systems
けつえき	血液	blood	hem/o, hemat/o	心臓・循環器・リンパ系の用語           The Cardiovascular and Lymphatic Systems
りんぱ	リンパ	lymph	lymph/o	心臓・循環器・リンパ系の用語           The Cardiovascular and Lymphatic Systems
けっせい	血清	serum	ser/o	心臓・循環器・リンパ系の用語           The Cardiovascular and Lymphatic Systems
けっしょう	血漿	plasma	plasm/o	心臓・循環器・リンパ系の用語           The Cardiovascular and Lymphatic Systems
けっきゅう	血球	globule	globul/o	心臓・循環器・リンパ系の用語           The Cardiovascular and Lymphatic Systems
けっせん	血栓	thrombus, clot	thromb/o	心臓・循環器・リンパ系の用語           The Cardiovascular and Lymphatic Systems
めさいぼう	芽細胞	embryonic cell	blast/o	心臓・循環器・リンパ系の用語           The Cardiovascular and Lymphatic Systems
りんぱかん	リンパ管	lymph duct	lymphangi/o	心臓・循環器・リンパ系の用語           The Cardiovascular and Lymphatic Systems
りんぱぶし	リンパ節		lymphaden/o	心臓・循環器・リンパ系の用語           The Cardiovascular and Lymphatic Systems
はな	鼻	nose	rhin/o, nas/o	呼吸器系の用語 The Respiratory System
こうとう	喉頭	larynx	laryng/o	呼吸器系の用語 The Respiratory System
きかん	気管	trachea	trache/o	呼吸器系の用語 The Respiratory System
きかんし	気管支	bronchus	bronch/o, bronch/i	呼吸器系の用語 The Respiratory System
おうかくまく	横隔膜	diaphragm	phren/o	呼吸器系の用語 The Respiratory System
きょうまく	胸膜	pleura	pleur/o	呼吸器系の用語 The Respiratory System
ほら	洞	sinus	sin/o, sinus/o	呼吸器系の用語 The Respiratory System
むね	胸	thorax	thorac/o	呼吸器系の用語 The Respiratory System
くうき	空気	air	aer/o, pneum/o	呼吸器系の用語 The Respiratory System
こきゅう	呼吸	breath	pne/o, pneum/o	呼吸器系の用語 The Respiratory System
だい	大	large	meg/a, megal/o	大小・形状・色・数量の用語         Size, Shape, Color, Quantity and Other Properties
しょう	小	small	micr/o	大小・形状・色・数量の用語         Size, Shape, Color, Quantity and Other Properties
どう	同	same	hom/o	大小・形状・色・数量の用語         Size, Shape, Color, Quantity and Other Properties
あや	異	different	heter/o	大小・形状・色・数量の用語         Size, Shape, Color, Quantity and Other Properties
ひとし	等	equal	is/o	大小・形状・色・数量の用語         Size, Shape, Color, Quantity and Other Properties
ふとう	不等	unequal	anis/o	大小・形状・色・数量の用語         Size, Shape, Color, Quantity and Other Properties
にせ	偽	false	pseud/o	大小・形状・色・数量の用語         Size, Shape, Color, Quantity and Other Properties
しろ	白	white	leuk/o, leuc/o	大小・形状・色・数量の用語         Size, Shape, Color, Quantity and Other Properties
くろ	黒	black	melan/o	大小・形状・色・数量の用語         Size, Shape, Color, Quantity and Other Properties
あか	赤	red	erythr/o	大小・形状・色・数量の用語         Size, Shape, Color, Quantity and Other Properties
あお	青	blue	cyan/o	大小・形状・色・数量の用語         Size, Shape, Color, Quantity and Other Properties
みどり	緑	green	chlor/o	大小・形状・色・数量の用語         Size, Shape, Color, Quantity and Other Properties
き	黄	yellow	xanth/o	大小・形状・色・数量の用語         Size, Shape, Color, Quantity and Other Properties
はいみどり	灰緑	bluish green	glauk/o, glauc/o	大小・形状・色・数量の用語         Size, Shape, Color, Quantity and Other Properties
はいしろ	灰白	whitish gray	poli/o	大小・形状・色・数量の用語         Size, Shape, Color, Quantity and Other Properties
いろ	色	color	chrom/o, chromat/o	大小・形状・色・数量の用語         Size, Shape, Color, Quantity and Other Properties
おお	多	many	pol/y; mult/i	大小・形状・色・数量の用語         Size, Shape, Color, Quantity and Other Properties
はんぶん	半分	half	hemi-; semi;	大小・形状・色・数量の用語         Size, Shape, Color, Quantity and Other Properties
む	無	none	null/i	大小・形状・色・数量の用語         Size, Shape, Color, Quantity and Other Properties
とも	乏	little	olig/o	大小・形状・色・数量の用語         Size, Shape, Color, Quantity and Other Properties
しんけい	神経	nerve	neur/o, nerv/i, nerv/o	脳神経系の用語 The Nervous System
だいのう	大脳	cerebrum	cerebr/o	脳神経系の用語 The Nervous System
しょうのう	小脳	cerebellum	cerebell/o	脳神経系の用語 The Nervous System
せきずい	脊髄	spinal cord	myel/o	脳神経系の用語 The Nervous System
ずいまく	髄膜	meninx	mening/o	脳神経系の用語 The Nervous System
せいしん	精神	mind	psych/o, phren/o, -phrenia	脳神経系の用語 The Nervous System
こころ	心	mind	psych/o, phren/o, -phrenia	脳神経系の用語 The Nervous System
ほね	骨	bone	oste/o	脳神経系の用語 The Nervous System
なんこつ	軟骨	cartilage	chondr/o	脳神経系の用語 The Nervous System
かんせつ	関節	joint	arthr/o, articul/o	脳神経系の用語 The Nervous System
